date, day, choice, RT, frac_chosen_nr, frac_chosen_rew, frac_chosen_prob, frach_other_nr, frac_other_rew, frac_other_prob 
2017-06-12T14:17:13.535Z,0,L,966,4,15,0.7,2,20,0.5 
2017-06-12T14:17:13.535Z,0,R,388,2,0,0.5,6,35,0.3 
2017-06-12T14:17:13.535Z,0,L,693,3,25,0.4,4,15,0.7 
2017-06-12T14:17:13.535Z,0,R,631,2,0,0.5,3,0,0.4 
2017-06-12T14:17:13.535Z,0,L,526,4,15,0.7,5,0,0.5 
2017-06-12T14:17:13.535Z,0,R,627,6,0,0.3,3,0,0.4 
2017-06-12T14:17:13.535Z,0,L,682,2,20,0.5,5,25,0.5 
2017-06-12T14:17:13.535Z,0,R,993,5,0,0.5,3,0,0.4 
2017-06-12T14:17:13.535Z,0,L,340,4,0,0.7,6,0,0.3 
2017-06-12T14:17:13.535Z,0,R,429,6,0,0.3,5,0,0.5 
