L circle prob win, L circle gain, L circle loss, R circle prob win, R circle gain, R cicle loss, choice, gain/loss, near/clear_1, near/clear_2,total score, RT, test day, actual day in study, mood pre GAMB, mood post GAMB 
0.25,110,75,0.6,20,125,1,20,51.3240736421,164.675926358,20,1805,1,2017-06-12T14:21:25.069Z, +6, -3 
0.75,50,150,0.3,70,30,0,50,155.759568753,114.240431247,70,1028,1,2017-06-12T14:21:25.069Z, +6, -3 
0.4,120,90,0.6,70,165,0,-90,160.877978528,55.1220214715,-20,2002,1,2017-06-12T14:21:25.069Z, +6, -3 
0.65,115,125,0.7,130,175,1,130,111.03754531,140.96245469,110,3207,1,2017-06-12T14:21:25.069Z, +6, -3 
0.3,195,15,0.6,155,160,1,155,77.3000792825,138.699920718,265,2853,1,2017-06-12T14:21:25.069Z, +6, -3 
0.4,145,140,0.6,20,120,1,20,176.28161197,39.7183880296,285,1190,1,2017-06-12T14:21:25.069Z, +6, -3 
0.25,80,10,0.5,55,30,1,-30,-12.8006159615,167.199384039,255,3789,1,2017-06-12T14:21:25.069Z, +6, -3 
0.6,90,20,0.35,150,180,0,-20,98.967073975,45.032926025,235,2811,1,2017-06-12T14:21:25.069Z, +6, -3 
0.55,155,180,0.5,195,60,1,-60,-11.1311824705,168.868817529,175,881,1,2017-06-12T14:21:25.069Z, +6, -3 
0.45,95,35,0.5,165,140,1,165,0.703837971722,179.296162028,340,1449,1,2017-06-12T14:21:25.069Z, +6, -3 
0.45,55,45,0.7,25,30,1,25,109.261091073,142.738908927,365,2105,1,2017-06-12T14:21:25.069Z, +6, -3 
0.4,125,105,0.7,35,115,1,35,74.7387289665,177.261271034,400,1437,1,2017-06-12T14:21:25.069Z, +6, -3 
0.75,65,195,0.6,80,120,0,65,93.6382470521,176.361752948,465,3088,1,2017-06-12T14:21:25.069Z, +6, -3 
0.75,65,140,0.25,100,15,0,-140,-63.4806991996,26.5193008004,325,1290,1,2017-06-12T14:21:25.069Z, +6, -3 
0.3,155,55,0.5,90,95,1,90,66.5687463681,113.431253632,415,949,1,2017-06-12T14:21:25.069Z, +6, -3 
0.5,50,175,0.65,175,170,1,175,8.20843850457,225.791561495,590,2289,1,2017-06-12T14:21:25.069Z, +6, -3 
0.65,100,135,0.25,110,150,0,-135,-26.2276474183,99.7723525817,455,1963,1,2017-06-12T14:21:25.069Z, +6, -3 
0.45,100,70,0.5,65,25,0,-70,-39.6457755197,158.35422448,385,7316,1,2017-06-12T14:21:25.069Z, +6, -3 
0.65,55,100,0.25,65,30,0,55,90.4172240165,143.582775984,440,1923,1,2017-06-12T14:21:25.069Z, +6, -3 
0.45,125,85,0.6,80,135,1,80,92.7236792415,123.276320758,520,1372,1,2017-06-12T14:21:25.069Z, +6, -3 
