RT, correct, trial_type, session, date, days, nr_trials, moodpre, moodpost 
2009,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1229,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
947,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
981,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
447,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1251,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1871,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1181,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1685,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1118,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1250,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1219,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
932,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1613,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
948,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1638,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1327,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1110,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1555,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
2135,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1105,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
408,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1083,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
981,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
916,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1502,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1905,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1953,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1665,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1194,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
446,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1063,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1536,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1461,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1300,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1200,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1546,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1192,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
942,1,D,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1009,1,E,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1206,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1267,1,B1,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1282,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1257,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1277,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1140,1,A,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
997,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
971,1,C,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1129,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
1028,1,B2,1,2017-06-12T14:19:19.180Z,0,50, -3, +4 
